FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature (celcius),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm),feat_Co,feat_Si,feat_Ni,feat_Re,feat_Fe,feat_Zr,feat_Ru,feat_Ti,feat_Ta,feat_Al,feat_W,feat_Mo,feat_V,feat_Cu,feat_Nb,feat_Hf,feat_Cr,feat_Mn,Target_Energy,Target_Risk,Target_Price
Al0.25 Co1 Fe1 Ni1,FCC,CAST,FCC,,,7.9,138.0,C,25.0,158.0,,,,,192.0,,,,0.3076923076923077,0.0,0.3076923076923077,0.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.27063507477179,0.22130222234553168,13.496845712066143
Al0.5 Co1 Fe1 Ni1,FCC+BCC,CAST,other,,,7.4,212.0,C,25.0,346.0,,,,,,,,,0.2857142857142857,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.45370667522465,0.21367902225074883,13.065836542575951
Al0.75 Co1 Fe1 Ni1,FCC+BCC,CAST,other,,,7.0,385.0,C,25.0,794.0,,,,,,,,,0.26666666666666666,0.0,0.26666666666666666,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.41510286260035,0.20658671691489636,12.664843705634858
Al1 Co1 Fe1 Ni1,BCC,CAST,BCC,,,6.6,456.0,C,25.0,964.0,,,,,162.0,,,,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.17720129708158,0.19997171364430033,12.290837116487902
Co1 Fe1 Ni1,FCC,CAST,FCC,,,8.5,125.0,C,25.0,204.0,,,,,207.0,,,,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.84002997636478,0.22951824522972275,13.961372571626217
Co1 Fe1 Ni1,FCC,CAST,FCC,,,8.5,125.0,C,25.0,209.0,,,,,207.0,,,,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.84002997636478,0.22951824522972275,13.961372571626217
Co1 Fe1 Ni1 Si0.25,FCC,CAST,FCC,,,7.7,149.0,C,25.0,196.0,,,,,186.0,,,,0.3076923076923077,0.07692307692307693,0.3076923076923077,0.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.39095807305013,0.22148315026940177,13.484314029668823
Co1 Fe1 Ni1 Si0.5,FCC+Sec.,CAST,other,,,7.1,287.0,C,25.0,476.0,,,,,,,,,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.90062128363064,0.21404988934218594,13.042987494333785
Co1 Fe1 Ni1 Si0.75,FCC+Sec.,CAST,other,,,6.6,570.0,C,25.0,1301.0,,,,,,,,,0.26666666666666666,0.2,0.26666666666666666,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.37348840197905,0.20715328664139304,12.633523356679303
Al0.25 Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,FCC,,,7.7,110.0,,25.0,,,,,,213.0,,,,0.23529411764705882,0.0,0.23529411764705882,0.0,0.23529411764705882,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.0,215.76993389461896,0.3186297452681897,12.78108158739045
Al0.25 Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,FCC,,,7.7,113.0,,25.0,,,,,,213.0,,,,0.23529411764705882,0.0,0.23529411764705882,0.0,0.23529411764705882,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.0,215.76993389461896,0.3186297452681897,12.78108158739045
Al0.375 Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,FCC,,,7.5,131.0,,25.0,,,,,,207.0,,,,0.22857142857142856,0.0,0.22857142857142856,0.0,0.22857142857142856,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.22857142857142856,0.0,215.53701541955405,0.31421143784954,12.620298733962287
Al0.375 Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,FCC,,,7.5,196.0,,25.0,,,,,,207.0,,,,0.22857142857142856,0.0,0.22857142857142856,0.0,0.22857142857142856,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.22857142857142856,0.0,215.53701541955405,0.31421143784954,12.620298733962287
Al0.5 Co1 Cr1 Fe1 Ni1,FCC+BCC,ANNEAL,other,,,7.3,159.0,,25.0,,,,,,,,,,0.2222222222222222,0.0,0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,215.3106716886378,0.3099178489223686,12.464054404687172
Al0.5 Co1 Cr1 Fe1 Ni1,FCC+BCC,ANNEAL,other,,,7.3,209.0,,25.0,,,,,,,,,,0.2222222222222222,0.0,0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,215.3106716886378,0.3099178489223686,12.464054404687172
Al0.75 Co1 Cr1 Fe1 Ni1,FCC+BCC,ANNEAL,other,,,7.0,388.0,,25.0,,,,,,,,,,0.21052631578947367,0.0,0.21052631578947367,0.0,0.21052631578947367,0.0,0.0,0.0,0.0,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.0,214.8766254909542,0.30168428335944975,12.164433749160544
Al0.75 Co1 Cr1 Fe1 Ni1,FCC+BCC,ANNEAL,other,,,7.0,280.0,,25.0,,,,,,,,,,0.21052631578947367,0.0,0.21052631578947367,0.0,0.21052631578947367,0.0,0.0,0.0,0.0,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.0,214.8766254909542,0.30168428335944975,12.164433749160544
Al0.875 Co1 Cr1 Fe1 Ni1,BCC,ANNEAL,BCC,,,6.9,538.0,,25.0,,,,,,188.0,,,,0.20512820512820512,0.0,0.20512820512820512,0.0,0.20512820512820512,0.0,0.0,0.0,0.0,0.1794871794871795,0.0,0.0,0.0,0.0,0.0,0.0,0.20512820512820512,0.0,214.6684181998856,0.29773473054493266,12.020708944362472
